endpoint,sample,fold,attention_max,attention_entropy,n_events
HRD_Score,TCGA-5T-A9QA,1,0.12049079686403275,3.7615771293640137,93
HRD_Score,TCGA-A1-A0SF,1,0.20664699375629425,3.3827364444732666,67
HRD_Score,TCGA-A2-A04Q,1,0.23523512482643127,3.2047197818756104,71
HRD_Score,TCGA-A2-A04T,1,0.04439818486571312,4.20800256729126,127
HRD_Score,TCGA-A2-A04U,1,0.3720463514328003,2.8296194076538086,71
HRD_Score,TCGA-A2-A0CM,1,0.11360222101211548,3.6168112754821777,76
HRD_Score,TCGA-A2-A0CV,1,0.18750648200511932,2.7114429473876953,27
HRD_Score,TCGA-A2-A0D1,1,0.16571754217147827,3.3239285945892334,79
HRD_Score,TCGA-A2-A0EN,1,0.14833040535449982,2.8349432945251465,43
HRD_Score,TCGA-A2-A0EY,1,0.04916207492351532,4.8780035972595215,299
HRD_Score,TCGA-A2-A0YC,1,0.20320141315460205,2.966446876525879,35
HRD_Score,TCGA-A2-A0YE,1,0.3164973556995392,2.921111822128296,50
HRD_Score,TCGA-A2-A0YF,1,0.3757849335670471,2.613253355026245,49
HRD_Score,TCGA-A2-A0YJ,1,0.1194375678896904,3.761641025543213,101
HRD_Score,TCGA-A2-A0YM,1,0.35584938526153564,3.210965633392334,115
HRD_Score,TCGA-A2-A1FV,1,0.08341383934020996,3.597289562225342,57
HRD_Score,TCGA-A2-A1FZ,1,0.48784810304641724,2.0630722045898438,36
HRD_Score,TCGA-A2-A25E,1,0.4075024127960205,2.388895273208618,69
HRD_Score,TCGA-A2-A4S1,1,0.12166698276996613,3.798405885696411,106
HRD_Score,TCGA-A7-A0CG,1,0.11336532980203629,3.597241163253784,78
HRD_Score,TCGA-A7-A13D,1,0.08402634412050247,4.151239395141602,158
HRD_Score,TCGA-A7-A26E,1,0.11494110524654388,3.550365924835205,71
HRD_Score,TCGA-A7-A26I,1,0.14337366819381714,3.069559097290039,47
HRD_Score,TCGA-A7-A4SE,1,0.053747933357954025,4.560750961303711,321
HRD_Score,TCGA-A8-A06X,1,0.0973534807562828,4.401355743408203,275
HRD_Score,TCGA-A8-A07O,1,0.08659213036298752,3.5532584190368652,58
HRD_Score,TCGA-A8-A07U,1,0.06629347056150436,3.9582104682922363,91
HRD_Score,TCGA-A8-A08X,1,0.2238636612892151,3.049267053604126,47
HRD_Score,TCGA-A8-A094,1,0.25046995282173157,3.9468886852264404,254
HRD_Score,TCGA-A8-A09B,1,0.2785683870315552,2.7699055671691895,60
HRD_Score,TCGA-A8-A09D,1,0.1112154871225357,3.536602258682251,64
HRD_Score,TCGA-A8-A09W,1,0.14844253659248352,3.706017017364502,119
HRD_Score,TCGA-A8-A09X,1,0.3184402287006378,3.0654306411743164,74
HRD_Score,TCGA-A8-A09Z,1,0.03389517217874527,6.457362651824951,1720
HRD_Score,TCGA-A8-A0A1,1,0.17496821284294128,3.2737011909484863,62
HRD_Score,TCGA-AC-A2FB,1,0.4204442799091339,2.0284838676452637,17
HRD_Score,TCGA-AC-A2FO,1,0.3252769112586975,2.612337350845337,32
HRD_Score,TCGA-AC-A5XS,1,0.01611817441880703,6.206462383270264,1454
HRD_Score,TCGA-AC-A5XU,1,0.15926311910152435,3.8111209869384766,119
HRD_Score,TCGA-AN-A03X,1,0.5221844911575317,2.2109594345092773,54
HRD_Score,TCGA-AN-A0AM,1,0.16851435601711273,3.3430824279785156,128
HRD_Score,TCGA-AN-A0XP,1,0.2362159937620163,2.6000683307647705,39
HRD_Score,TCGA-AN-A0XR,1,0.23316727578639984,2.782184362411499,42
HRD_Score,TCGA-AN-A0XV,1,0.32355359196662903,2.7927634716033936,49
HRD_Score,TCGA-AO-A03L,1,0.15379181504249573,2.840034246444702,39
HRD_Score,TCGA-AO-A03P,1,0.09281909465789795,3.4723873138427734,71
HRD_Score,TCGA-AO-A03R,1,0.16966663300991058,3.231328010559082,59
HRD_Score,TCGA-AO-A03V,1,0.2523241341114044,3.09030818939209,74
HRD_Score,TCGA-AO-A0J6,1,0.10742934793233871,4.014374732971191,147
HRD_Score,TCGA-AO-A0J9,1,0.06426618248224258,4.486140251159668,170
HRD_Score,TCGA-AO-A0JD,1,0.08776013553142548,4.067696571350098,142
HRD_Score,TCGA-AO-A0JF,1,0.21968898177146912,2.542344570159912,37
HRD_Score,TCGA-AO-A0JM,1,0.3072673976421356,3.0336031913757324,54
HRD_Score,TCGA-AO-A124,1,0.36357927322387695,3.5276169776916504,194
HRD_Score,TCGA-AQ-A1H2,1,0.21058455109596252,2.905062198638916,39
HRD_Score,TCGA-AR-A0TV,1,0.19275948405265808,3.4573636054992676,83
HRD_Score,TCGA-AR-A1AW,1,0.2698838710784912,2.6003284454345703,44
HRD_Score,TCGA-AR-A24P,1,0.23001758754253387,2.394077777862549,26
HRD_Score,TCGA-AR-A24Q,1,0.1047067642211914,4.137383460998535,244
HRD_Score,TCGA-AR-A252,1,0.23772920668125153,2.36911940574646,19
HRD_Score,TCGA-AR-A2LK,1,0.1480804830789566,3.1137142181396484,53
HRD_Score,TCGA-B6-A0I9,1,0.1323797106742859,3.669881820678711,118
HRD_Score,TCGA-B6-A0RI,1,0.1448204666376114,2.958183765411377,32
HRD_Score,TCGA-B6-A0WT,1,0.15086883306503296,2.803593397140503,23
HRD_Score,TCGA-B6-A0X0,1,0.2402426153421402,2.5376346111297607,28
HRD_Score,TCGA-B6-A0X4,1,0.13625551760196686,2.6984570026397705,24
HRD_Score,TCGA-B6-A1KC,1,0.2538110017776489,2.922302722930908,40
